"Name","ID","State","Commit"
"Caser_20260207_234508","0gm17auy","finished","b3e380a7abc849e4c36d39bed63287e03517d63b"
"FPMC_20260207_130941","4riv0zwi","finished","4d7ba44e0c9d592ec0ca7c95da6015fe5f554c28"
"BPR_20260207_104014","5su1k068","finished","4d7ba44e0c9d592ec0ca7c95da6015fe5f554c28"
"Random_20260207_092316","87btvdcd","finished","4d7ba44e0c9d592ec0ca7c95da6015fe5f554c28"
"Pop_20260207_092642","8xr5iy0c","finished","4d7ba44e0c9d592ec0ca7c95da6015fe5f554c28"
"LightGCN_20260207_193308","dy34n34i","finished","dbb26139471bf1747b8a9a4868594d35338aa15e"
"GRU4Rec_20260207_163223","ibtnfh8t","finished","dbb26139471bf1747b8a9a4868594d35338aa15e"
"NARM_20260207_104907","jd1aqxem","finished","4d7ba44e0c9d592ec0ca7c95da6015fe5f554c28"
"NextItNet_20260207_152411","lbm9xjem","finished","dbb26139471bf1747b8a9a4868594d35338aa15e"
"BERT4Rec_20260207_232611","p1msj5qq","finished","dbb26139471bf1747b8a9a4868594d35338aa15e"
"FOSSIL_20260207_110228","p9jt2o1y","finished","4d7ba44e0c9d592ec0ca7c95da6015fe5f554c28"
"TransRec_20260207_090236","sssdscwr","finished","4d7ba44e0c9d592ec0ca7c95da6015fe5f554c28"
"SASRec_20260207_092352","sxsuul9p","finished","4d7ba44e0c9d592ec0ca7c95da6015fe5f554c28"
"ItemKNN_20260207_093448","wu4f8qu4","finished","4d7ba44e0c9d592ec0ca7c95da6015fe5f554c28"
