"Name","ID","State"
"TransRec_20260208_232854","6bkukfep","finished"
"Caser_20260209_003232","7gsaxvo9","finished"
"NextItNet_20260208_232653","7pemihl3","finished"
"SASRec_20260208_232843","9icgvtee","finished"
"BERT4Rec_20260209_003406","boz7stwc","finished"
"Random_20260208_100147","gvjvzahf","finished"
"BPR_20260208_100100","hgj3kgxb","finished"
"FOSSIL_20260208_100538","m42kj1ex","finished"
"LightGCN_20260208_183633","mlnbtni9","finished"
"FPMC_20260208_183452","rfjg9muv","finished"
"Pop_20260208_100734","wkobtadl","finished"
"NARM_20260208_184129","x5g29buh","finished"
"ItemKNN_20260208_100135","x72kn4ly","finished"
"GRU4Rec_20260208_184124","xttw1489","finished"
