model,slice,dataset,best_valid_score,best_valid_epoch,total_epochs,recall@5,recall@10,recall@20,mrr@5,mrr@10,mrr@20,ndcg@5,ndcg@10,ndcg@20,hit@5,hit@10,hit@20
POP,1,realestate_slice1,-inf,-1,1,0.0151,0.027,0.0452,0.0079,0.0094,0.0107,0.0097,0.0135,0.018,0.0151,0.027,0.0452
Random,1,realestate_slice1,-inf,-1,1,0.0002,0.0004,0.0009,0.0001,0.0001,0.0001,0.0001,0.0002,0.0003,0.0002,0.0004,0.0009
POP,2,realestate_slice2,-inf,-1,1,0.0146,0.0255,0.0437,0.0074,0.0088,0.01,0.0092,0.0126,0.0172,0.0146,0.0255,0.0437
Random,2,realestate_slice2,-inf,-1,1,0.0003,0.0005,0.001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0004,0.0003,0.0005,0.001
POP,3,realestate_slice3,-inf,-1,1,0.0131,0.0233,0.0392,0.0066,0.0079,0.0089,0.0082,0.0114,0.0154,0.0131,0.0233,0.0392
Random,3,realestate_slice3,-inf,-1,1,0.0002,0.0004,0.0008,0.0001,0.0001,0.0001,0.0001,0.0002,0.0003,0.0002,0.0004,0.0008
POP,4,realestate_slice4,-inf,-1,1,0.0134,0.0236,0.0401,0.0068,0.0081,0.0092,0.0084,0.0116,0.0158,0.0134,0.0236,0.0401
Random,4,realestate_slice4,-inf,-1,1,0.0001,0.0002,0.0005,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0005
POP,5,realestate_slice5,-inf,-1,1,0.0114,0.022,0.0345,0.0052,0.0066,0.0074,0.0067,0.0101,0.0133,0.0114,0.022,0.0345
SPOP,1,realestate_slice1,-inf,-1,1,0.8861,0.9229,0.9293,0.7171,0.7223,0.7228,0.7597,0.772,0.7736,0.8861,0.9229,0.9293
Random,5,realestate_slice5,-inf,-1,1,0.0003,0.0003,0.0009,0.0001,0.0001,0.0002,0.0001,0.0001,0.0003,0.0003,0.0003,0.0009
RPOP,1,realestate_slice1,-inf,-1,1,0.0229,0.0375,0.0618,0.0116,0.0135,0.0152,0.0144,0.0191,0.0252,0.0229,0.0375,0.0618
SPOP,2,realestate_slice2,-inf,-1,1,0.8832,0.919,0.9256,0.714,0.7191,0.7196,0.7567,0.7686,0.7703,0.8832,0.919,0.9256
