model,slice,dataset,best_valid_score,total_epochs,recall@5,recall@10,recall@20,mrr@5,mrr@10,mrr@20,ndcg@5,ndcg@10,ndcg@20,hit@5,hit@10,hit@20
GRU4Rec,2,realestate_slice2,-inf,50,0.9284,0.9322,0.9361,0.9147,0.9152,0.9155,0.9182,0.9194,0.9204,0.9284,0.9322,0.9361
GRU4Rec,1,realestate_slice1,-inf,50,0.9355,0.9391,0.9427,0.92,0.9205,0.9207,0.9239,0.9251,0.926,0.9355,0.9391,0.9427
GRU4Rec,3,realestate_slice3,-inf,50,0.9332,0.9375,0.9409,0.919,0.9195,0.9198,0.9226,0.924,0.9249,0.9332,0.9375,0.9409
GRU4Rec,5,realestate_slice5,-inf,50,0.9338,0.9371,0.9411,0.9191,0.9196,0.9198,0.9229,0.9239,0.9249,0.9338,0.9371,0.9411
GRU4Rec,4,realestate_slice4,-inf,50,0.9364,0.9399,0.9431,0.9227,0.9232,0.9234,0.9262,0.9274,0.9282,0.9364,0.9399,0.9431
NARM,2,realestate_slice2,-inf,50,0.9307,0.9351,0.9388,0.914,0.9146,0.9149,0.9183,0.9197,0.9206,0.9307,0.9351,0.9388
NARM,1,realestate_slice1,-inf,50,0.9373,0.9418,0.9457,0.9199,0.9205,0.9208,0.9243,0.9258,0.9268,0.9373,0.9418,0.9457
NARM,5,realestate_slice5,-inf,50,0.9369,0.9413,0.9445,0.9205,0.9211,0.9213,0.9247,0.9261,0.9269,0.9369,0.9413,0.9445
NARM,4,realestate_slice4,-inf,50,0.9387,0.9433,0.9466,0.9233,0.924,0.9242,0.9273,0.9287,0.9296,0.9387,0.9433,0.9466
STAMP,2,realestate_slice2,-inf,50,0.9183,0.9225,0.926,0.9037,0.9043,0.9045,0.9074,0.9088,0.9097,0.9183,0.9225,0.926
STAMP,1,realestate_slice1,-inf,50,0.9312,0.9354,0.9396,0.9175,0.9181,0.9184,0.921,0.9224,0.9234,0.9312,0.9354,0.9396
