Model,Recall@5,Recall@5_mean,Recall@5_std,Recall@10,Recall@10_mean,Recall@10_std,Recall@20,Recall@20_mean,Recall@20_std,MRR@5,MRR@5_mean,MRR@5_std,MRR@10,MRR@10_mean,MRR@10_std,MRR@20,MRR@20_mean,MRR@20_std,NDCG@5,NDCG@5_mean,NDCG@5_std,NDCG@10,NDCG@10_mean,NDCG@10_std,NDCG@20,NDCG@20_mean,NDCG@20_std,Hit@5,Hit@5_mean,Hit@5_std,Hit@10,Hit@10_mean,Hit@10_std,Hit@20,Hit@20_mean,Hit@20_std
SASRec,0.9275±0.0007,0.9275,0.0007071067811865482,0.9344±0.0007,0.9343999999999999,0.0007071067811865482,0.9420±0.0008,0.942,0.0008485281374238421,0.9079±0.0011,0.90785,0.001060660171779783,0.9087±0.0011,0.90875,0.001060660171779783,0.9093±0.0011,0.90935,0.0010606601717798615,0.9128±0.0009,0.9128499999999999,0.0009192388155424891,0.9151±0.0010,0.9151,0.000989949493661136,0.9170±0.0010,0.917,0.000989949493661136,0.9275±0.0007,0.9275,0.0007071067811865482,0.9344±0.0007,0.9343999999999999,0.0007071067811865482,0.9420±0.0008,0.942,0.0008485281374238421
NARM,0.9250±0.0013,0.9249600000000001,0.0013464768843170132,0.9323±0.0013,0.93234,0.001331540461270325,0.9391±0.0014,0.9390599999999999,0.001406413879339924,0.9061±0.0018,0.9060600000000001,0.0017826945896591323,0.9071±0.0018,0.9070600000000001,0.0017826945896591323,0.9075±0.0018,0.9075200000000001,0.0018171406109600073,0.9108±0.0017,0.9108400000000001,0.0016562004709575445,0.9132±0.0017,0.91324,0.0016652327164693801,0.9149±0.0017,0.91494,0.0016562004709575462,0.9250±0.0013,0.9249600000000001,0.0013464768843170132,0.9323±0.0013,0.93234,0.001331540461270325,0.9391±0.0014,0.9390599999999999,0.001406413879339924
STAMP,0.9187±0.0027,0.9187,0.002729468812791224,0.9256±0.0023,0.9255800000000001,0.002330665141113155,0.9327±0.0025,0.93266,0.002456216602826392,0.9028±0.0039,0.90284,0.003931030399271912,0.9038±0.0039,0.9037599999999999,0.003866264346885756,0.9042±0.0039,0.9042199999999999,0.0038609584302346485,0.9068±0.0036,0.9068400000000001,0.003618425071768077,0.9091±0.0035,0.90908,0.003460780258843364,0.9109±0.0035,0.91088,0.003518806615885547,0.9187±0.0027,0.9187,0.002729468812791224,0.9256±0.0023,0.9255800000000001,0.002330665141113155,0.9327±0.0025,0.93266,0.002456216602826392
SPOP,0.8870±0.0015,0.88702,0.0015122830422906624,0.9229±0.0017,0.9228799999999999,0.0017469974241537717,0.9293±0.0016,0.92934,0.0016318700928689292,0.7164±0.0011,0.71638,0.0010917875251164973,0.7215±0.0011,0.72148,0.0011344602240713317,0.7220±0.0011,0.7219800000000001,0.0011344602240713406,0.7594±0.0011,0.75944,0.001092245393673026,0.7713±0.0012,0.7713399999999999,0.0012361229712289916,0.7731±0.0012,0.7730599999999999,0.0011886967653695392,0.8870±0.0015,0.88702,0.0015122830422906624,0.9229±0.0017,0.9228799999999999,0.0017469974241537717,0.9293±0.0016,0.92934,0.0016318700928689292
GRU4Rec,0.9017±0.0017,0.90174,0.0017472836060582625,0.9116±0.0015,0.9115800000000001,0.0014532721699667796,0.9204±0.0015,0.9204000000000001,0.0014594519519326567,0.8784±0.0027,0.8783800000000002,0.0027371518043396944,0.8797±0.0027,0.8797200000000001,0.0026855167100578534,0.8803±0.0027,0.88032,0.0026985181118532567,0.8843±0.0025,0.8843,0.00249899979991997,0.8875±0.0024,0.8874600000000001,0.002389142105442919,0.8897±0.0024,0.8897,0.0023864199127563344,0.9017±0.0017,0.90174,0.0017472836060582625,0.9116±0.0015,0.9115800000000001,0.0014532721699667796,0.9204±0.0015,0.9204000000000001,0.0014594519519326567
FOSSIL,0.8968±0.0028,0.8968,0.0028080242164197837,0.9108±0.0028,0.9108,0.0027991070004556606,0.9237±0.0024,0.92372,0.002381596103456686,0.8557±0.0046,0.8556799999999999,0.004583339393935393,0.8576±0.0046,0.8575800000000001,0.004550494478625381,0.8585±0.0045,0.8584800000000001,0.004497443718380491,0.8661±0.0040,0.86614,0.004037697363597236,0.8707±0.0040,0.8706800000000001,0.004015221039992667,0.8740±0.0039,0.87396,0.003922754134533528,0.8968±0.0028,0.8968,0.0028080242164197837,0.9108±0.0028,0.9108,0.0027991070004556606,0.9237±0.0024,0.92372,0.002381596103456686
FPMC,0.1233±0.0051,0.1233,0.005053216797249058,0.1653±0.0031,0.16528000000000004,0.0030882033611794417,0.2121±0.0028,0.21214,0.002814782407220849,0.0777±0.0044,0.07768,0.004386000455996328,0.0832±0.0041,0.0832,0.00410487515035476,0.0865±0.0039,0.08648,0.003915609786482813,0.0890±0.0044,0.08898,0.004424590376520748,0.1025±0.0036,0.10246,0.0036198066246693364,0.1144±0.0029,0.11438,0.002886520396602112,0.1233±0.0051,0.1233,0.005053216797249058,0.1653±0.0031,0.16528000000000004,0.0030882033611794417,0.2121±0.0028,0.21214,0.002814782407220849
RPOP,0.0209±0.0012,0.020859999999999997,0.0012421755109484332,0.0349±0.0016,0.03488,0.0015896540504147432,0.0585±0.0022,0.05852,0.0022365151463828717,0.0108±0.0008,0.01076,0.0007503332592921628,0.0126±0.0008,0.012559999999999998,0.0008203657720797469,0.0142±0.0009,0.014199999999999999,0.0008514693182963202,0.0132±0.0009,0.013239999999999998,0.0008648699324175862,0.0177±0.0009,0.01772,0.0009471008394041253,0.0237±0.0011,0.023659999999999997,0.0011081516141756053,0.0209±0.0012,0.020859999999999997,0.0012421755109484332,0.0349±0.0016,0.03488,0.0015896540504147432,0.0585±0.0022,0.05852,0.0022365151463828717
POP,0.0136±0.0018,0.01358,0.0017683325479106015,0.0245±0.0017,0.02454,0.00169941166289984,0.0416±0.0045,0.04164,0.004470234893157183,0.0068±0.0012,0.0067599999999999995,0.0012074767078498866,0.0082±0.0012,0.00818,0.001209131920015347,0.0093±0.0014,0.00932,0.0014060583202698243,0.0084±0.0013,0.00842,0.0013479614237803695,0.0119±0.0013,0.0119,0.001345362404707371,0.0162±0.0020,0.0162,0.0020099751242241776,0.0136±0.0018,0.01358,0.0017683325479106015,0.0245±0.0017,0.02454,0.00169941166289984,0.0416±0.0045,0.04164,0.004470234893157183
Random,0.0002±0.0001,0.0002,7.071067811865474e-05,0.0004±0.0001,0.00038,8.366600265340757e-05,0.0008±0.0001,0.0007599999999999999,0.00011401754250991381,0.0001±0.0000,0.0001,0.0,0.0001±0.0000,0.00012000000000000002,4.4721359549995795e-05,0.0001±0.0001,0.00014,5.4772255750516614e-05,0.0001±0.0000,0.00012000000000000002,4.4721359549995795e-05,0.0002±0.0001,0.00017999999999999998,8.366600265340754e-05,0.0003±0.0001,0.00030000000000000003,7.071067811865475e-05,0.0002±0.0001,0.0002,7.071067811865474e-05,0.0004±0.0001,0.00038,8.366600265340757e-05,0.0008±0.0001,0.0007599999999999999,0.00011401754250991381
